is_about,is_quality_measurement_of,has_specified_numeric_value,has_measurement_unit_label
7046B_432256,Trans_Cont,0.0,
7046B_432256,Vinyl_Cont,0.0,
7046B_432256,Glass Transition Temperature,-23.4,
7046B_432256,Number Averaged Molecular Weight,262490,
7046B_432256,Weight Averaged Molecular Weight,323590,
7046A_432257,Mooney Viscosity,76,
7046A_432257,Mooney Stress Relaxation,1.461,
7046A_432257,Styrene_Cont,0.0,
7046A_432257,Cis_Cont,0.0,
7046A_432257,Trans_Cont,0.0,
7046A_432257,Vinyl_Cont,0.0,
7046A_432257,Glass Transition Temperature,-22.5,
7046A_432257,Number Averaged Molecular Weight,266918,
7046A_432257,Weight Averaged Molecular Weight,318493,
7046C_432258,Mooney Viscosity,71,
7046C_432258,Mooney Stress Relaxation,1.656,
7046C_432258,Styrene_Cont,0.0,
7046C_432258,Cis_Cont,0.0,
7046C_432258,Trans_Cont,0.0,
7046C_432258,Vinyl_Cont,0.0,
7046C_432258,Glass Transition Temperature,-24.7,
7046C_432258,Number Averaged Molecular Weight,254913,
7046C_432258,Weight Averaged Molecular Weight,318306,
7042O_432581,Mooney Viscosity,58,
7042O_432581,Mooney Stress Relaxation,1.215,
7042O_432581,Styrene_Cont,20.6,
7042O_432581,Cis_Cont,13.4,
7042O_432581,Trans_Cont,15.2,
7042O_432581,Vinyl_Cont,50.8,
7042O_432581,Glass Transition Temperature,-22.4,
7042O_432581,Number Averaged Molecular Weight,243990,
7042O_432581,Weight Averaged Molecular Weight,401726,
7044B_432582,Mooney Viscosity,50,
7044B_432582,Mooney Stress Relaxation,3.209,
7044B_432582,Styrene_Cont,21.1,
7044B_432582,Cis_Cont,13.3,
7044B_432582,Trans_Cont,15.3,
7044B_432582,Vinyl_Cont,50.2,
7044B_432582,Glass Transition Temperature,-21.2,
7044B_432582,Number Averaged Molecular Weight,233277,
7044B_432582,Weight Averaged Molecular Weight,319130,
7044D_432583,Mooney Viscosity,91,
7044D_432583,Mooney Stress Relaxation,1.212,
7044D_432583,Styrene_Cont,21.2,
7044D_432583,Cis_Cont,13.1,
7044D_432583,Trans_Cont,14.7,
7044D_432583,Vinyl_Cont,51.0,
7044D_432583,Glass Transition Temperature,-21.9,
7044D_432583,Number Averaged Molecular Weight,263149,
7044D_432583,Weight Averaged Molecular Weight,366481,
7044C_432584,Mooney Viscosity,79,
7044C_432584,Mooney Stress Relaxation,1.423,
7044C_432584,Styrene_Cont,21.1,
7044C_432584,Cis_Cont,13.4,
7044C_432584,Trans_Cont,15.4,
7044C_432584,Vinyl_Cont,50.1,
7044C_432584,Glass Transition Temperature,-22.9,
7044C_432584,Number Averaged Molecular Weight,243222,
7044C_432584,Weight Averaged Molecular Weight,329900,
7042O_432585,Mooney Viscosity,58,
7042O_432585,Mooney Stress Relaxation,1.215,
7042O_432585,Styrene_Cont,20.6,
7042O_432585,Cis_Cont,13.4,
7042O_432585,Trans_Cont,15.2,
7042O_432585,Vinyl_Cont,50.8,
7042O_432585,Glass Transition Temperature,-22.4,
7042O_432585,Number Averaged Molecular Weight,243990,
7042O_432585,Weight Averaged Molecular Weight,401726,
7039W_432586,Mooney Viscosity,59,
7039W_432586,Mooney Stress Relaxation,3.006,
7039W_432586,Styrene_Cont,20.9,
7039W_432586,Cis_Cont,13.2,
7039W_432586,Trans_Cont,15.1,
7039W_432586,Vinyl_Cont,50.8,
7039W_432586,Glass Transition Temperature,-21.4,
